Address,Height,TotalGas,x1,x2,x3,x4,x5,x6,x7,x8
f02051716,3054542,64396229,1,0,0,0,357,0,1,0
f02052410,3054542,53475805,0,0,0,0,361,0,0,0
f02129150,3054542,24791708,0,0,0,0,0,0,0,0
f02199786,3054542,40611034,0,0,0,0,179,0,0,0
f02201190,3054542,52907097,0,0,0,0,358,0,0,0
f02206337,3054542,66126653,1,0,0,0,360,0,1,0
f02239603,3054542,26317030,0,0,0,0,0,0,0,0
f02246188,3054542,40527625,0,0,0,0,180,0,0,0
f022820,3054542,65667054,1,0,0,0,359,0,1,0
f0239688,3054542,51563085,0,0,0,0,355,0,0,0
f02614,3054542,25428356,0,0,0,0,19,0,0,0
f0392734,3054542,51902282,0,0,0,0,359,0,0,0
f0452808,3054542,52021513,0,0,0,0,360,0,0,0
f0456741,3054542,51998223,0,0,0,0,359,0,0,0
f0465677,3054542,51101069,0,0,0,0,347,0,0,0
f0470972,3054542,51923774,0,0,0,0,357,0,0,0
f0518713,3054542,52250024,0,0,0,0,361,0,0,0
f062473,3054542,64065104,1,0,0,0,361,0,1,0
f0701089,3054542,48584507,0,0,0,0,312,0,0,0
f0746542,3054542,64372835,1,0,0,0,360,0,1,0
f0843255,3054542,64306194,1,0,0,0,361,0,1,0
f0867298,3054542,28587402,0,0,0,0,46,0,0,0
f094614,3054542,31794581,0,0,0,0,40,0,0,0
f095314,3054542,75608257,0,0,0,6,356,0,0,0
f01016245,3054543,66136719,2,0,0,0,361,0,1,0
f01038189,3054543,25747465,0,0,0,0,6,0,0,0
f0104103,3054543,50767555,0,0,0,0,351,0,0,0
f01052556,3054543,65635841,3,0,0,0,360,0,1,0
f01062230,3054543,50664899,0,0,0,0,336,0,0,0
f0106256,3054543,40798109,0,0,0,0,220,0,0,0
f01068213,3054543,35482942,0,0,0,0,127,0,0,0
f01093419,3054543,32463603,0,0,0,0,95,0,0,0
f01115686,3054543,70098741,1,0,0,0,361,0,1,0
f01123400,3054543,66376874,2,0,0,0,361,0,1,0
f01138034,3054543,65285003,2,0,0,0,361,0,1,0
f01140707,3054543,65070478,1,0,0,0,361,0,1,0
f01158681,3054543,70314065,2,0,0,0,361,0,1,0
f01168661,3054543,69961631,3,0,0,0,361,0,1,0
f01177571,3054543,57170234,0,0,0,0,349,0,0,0
f01190002,3054543,52587417,0,0,0,0,354,0,0,0
f01197441,3054543,36749131,0,0,0,0,145,0,0,0
f0120793,3054543,40841981,0,0,0,0,224,0,0,0
f01213229,3054543,52973176,0,0,0,0,358,0,0,0
f01224142,3054543,37123121,0,0,0,0,147,0,0,0
f01224768,3054543,66897508,2,0,0,0,361,0,1,0
f01227975,3054543,68008001,2,0,0,0,361,0,1,0
f01231,3054543,33856906,0,0,0,0,127,0,0,0
f01239166,3054543,29899709,0,0,0,0,53,0,0,0
f0128788,3054543,27133387,0,0,0,0,37,0,0,0
f0130868,3054543,64746284,1,0,0,0,357,0,1,0
f01308876,3054543,44887256,0,0,0,0,250,0,0,0
f01386984,3054543,65148783,1,0,0,0,359,0,1,0
f01459496,3054543,51934792,0,0,0,0,340,0,0,0
f0146278,3054543,64021023,1,0,0,0,361,0,1,0
f0146956,3054543,64386037,1,0,0,0,360,0,1,0
f01493161,3054543,48189070,0,0,0,0,291,0,0,0
f0151993,3054543,51789728,0,0,0,0,361,0,0,0
f01521158,3054543,67711390,2,0,0,0,361,0,1,0
f015932,3054543,69761269,13,0,0,0,361,0,1,0
f0159380,3054543,64335482,2,0,0,0,361,0,1,0
f0159649,3054543,51809974,0,0,0,0,358,0,0,0
f01657051,3054543,53042591,0,0,0,0,352,0,0,0
f01682529,3054543,53183392,0,0,0,0,355,0,0,0
f01684950,3054543,68370319,6,0,0,0,361,0,1,0
f01688066,3054543,74358288,3,0,0,0,361,0,1,0
f01693343,3054543,65726606,1,0,0,0,359,0,1,0
f01694304,3054543,70169677,4,0,0,0,361,0,1,0
f01698940,3054543,68407092,3,0,0,0,359,0,1,0
f01789225,3054543,67030534,2,0,0,0,360,0,1,0
f01820744,3054543,67218385,2,0,0,0,361,0,1,0
f01830431,3054543,54573178,0,0,0,0,361,0,0,0
f01837294,3054543,67127775,2,0,0,0,361,0,1,0
f01845912,3054543,67651446,1,0,0,0,360,0,1,0
f01880364,3054543,52483173,0,0,0,0,360,0,0,0
f01895949,3054543,64546749,1,0,0,0,361,0,1,0
f01917236,3054543,65670871,1,0,0,0,361,0,1,0
f01926686,3054543,62401115,0,0,0,11,361,0,0,0
f01927425,3054543,68897356,8,0,0,0,361,0,1,0
f01947770,3054543,65512979,1,0,0,0,360,0,1,0
f01955137,3054543,51530081,0,0,0,0,344,0,0,0
f02045580,3054543,52893495,0,0,0,0,361,0,0,0
f02059869,3054543,52934935,0,0,0,0,361,0,0,0
f02071909,3054543,53855635,0,0,0,0,361,0,0,0
